Parameters,CoDACl Scores,CoDAPCA Scores,CLRPCA Scores,PCA Scores,Naive Scores,CoDACl Val Loss,CoDACl Train Loss
"trial1 nn [[15], [15]] lr 0.001 lam 1e-05 epochs 1000 num_features 20 low_dimension 5","[0.5443037974683544, 0.3291139240506329, 0.47257383966244726, 0.4025423728813559]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4810126582278481, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(-8874.169, dtype=float32), array(-86988.44, dtype=float32), array(-366336.2, dtype=float32), array(-1330152.2, dtype=float32), array(-2624810.5, dtype=float32), array(-2678436.8, dtype=float32)]","[array(-25515.39, dtype=float32), array(-259951.86, dtype=float32), array(-1088628.9, dtype=float32), array(-3968745.8, dtype=float32), array(-7982214.5, dtype=float32), array(-8176433.5, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.001 lam 0.01 epochs 100 num_features 20 low_dimension 5","[0.04219409282700422, 0.004219409282700422, 0.016877637130801686, 0.3516949152542373]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(3522003., dtype=float32), array(-62970110., dtype=float32)]","[array(9136336., dtype=float32), array(-1.9036578e+08, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.001 lam 0.01 epochs 200 num_features 20 low_dimension 5","[0.5443037974683544, 0.32489451476793246, 0.4641350210970464, 0.3813559322033898]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(-8685485., dtype=float32), array(-86408610., dtype=float32), array(-3.3003965e+08, dtype=float32), array(-1.1055539e+09, dtype=float32)]","[array(-24434938., dtype=float32), array(-2.5618046e+08, dtype=float32), array(-9.757975e+08, dtype=float32), array(-3.2913441e+09, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.001 lam 0.01 epochs 300 num_features 20 low_dimension 5","[0.5443037974683544, 0.3291139240506329, 0.4810126582278481, 0.3813559322033898]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4810126582278481, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(-9301335., dtype=float32), array(-1.0276708e+08, dtype=float32), array(-3.4953338e+08, dtype=float32), array(-1.1264957e+09, dtype=float32), array(-2.5945078e+09, dtype=float32), array(-2.6777674e+09, dtype=float32)]","[array(-23409572., dtype=float32), array(-3.0429955e+08, dtype=float32), array(-1.0387598e+09, dtype=float32), array(-3.3570112e+09, dtype=float32), array(-7.858038e+09, dtype=float32), array(-8.175645e+09, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.001 lam 0.01 epochs 400 num_features 20 low_dimension 5","[0.5443037974683544, 0.32489451476793246, 0.4641350210970464, 0.3644067796610169]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(-19538832., dtype=float32), array(-77110250., dtype=float32), array(-2.8003466e+08, dtype=float32), array(-9.58295e+08, dtype=float32), array(-2.3373814e+09, dtype=float32), array(-2.6771973e+09, dtype=float32)]","[array(-54719930., dtype=float32), array(-2.27981e+08, dtype=float32), array(-8.324336e+08, dtype=float32), array(-2.8695898e+09, dtype=float32), array(-7.1104404e+09, dtype=float32), array(-8.1734835e+09, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.001 lam 0.01 epochs 500 num_features 20 low_dimension 5","[0.5443037974683544, 0.32489451476793246, 0.4641350210970464, 0.4025423728813559]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4810126582278481, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(120568.87, dtype=float32), array(-84145970., dtype=float32), array(-4.7245258e+08, dtype=float32), array(-2.185062e+09, dtype=float32), array(-2.673862e+09, dtype=float32), array(-2.677841e+09, dtype=float32), array(-2.6783718e+09, dtype=float32), array(-2.678551e+09, dtype=float32), array(-2.6786179e+09, dtype=float32)]","[array(4655316., dtype=float32), array(-2.4819904e+08, dtype=float32), array(-1.4006127e+09, dtype=float32), array(-6.5300495e+09, dtype=float32), array(-8.1614684e+09, dtype=float32), array(-8.175755e+09, dtype=float32), array(-8.1772477e+09, dtype=float32), array(-8.1777275e+09, dtype=float32), array(-8.177904e+09, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.001 lam 0.01 epochs 1000 num_features 20 low_dimension 5","[0.5485232067510548, 0.32489451476793246, 0.47257383966244726, 0.4025423728813559]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4810126582278481, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(8285865.5, dtype=float32), array(-66348788., dtype=float32), array(-3.276809e+08, dtype=float32), array(-1.3436778e+09, dtype=float32), array(-2.6535578e+09, dtype=float32), array(-2.6775334e+09, dtype=float32), array(-2.678073e+09, dtype=float32), array(-2.6784074e+09, dtype=float32), array(-2.6785833e+09, dtype=float32), array(-2.6786847e+09, dtype=float32), array(-2.6787515e+09, dtype=float32), array(-2.6788006e+09, dtype=float32)]","[array(28622896., dtype=float32), array(-1.9245878e+08, dtype=float32), array(-9.570851e+08, dtype=float32), array(-3.966624e+09, dtype=float32), array(-8.0820193e+09, dtype=float32), array(-8.174307e+09, dtype=float32), array(-8.1764306e+09, dtype=float32), array(-8.177307e+09, dtype=float32), array(-8.177788e+09, dtype=float32), array(-8.178083e+09, dtype=float32), array(-8.1782856e+09, dtype=float32), array(-8.178442e+09, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.001 lam 1 epochs 100 num_features 20 low_dimension 5","[0.1518987341772152, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4810126582278481, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(-2.4240617e+09, dtype=float32), array(-8.997149e+09, dtype=float32)]","[array(-7.410069e+09, dtype=float32), array(-2.7241427e+10, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.001 lam 1 epochs 200 num_features 20 low_dimension 5","[0.5443037974683544, 0.3291139240506329, 0.4641350210970464, 0.3728813559322034]","[0.5485232067510548, 0.3333333333333333, 0.459915611814346, 0.4194915254237288]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(3522550.8, dtype=float32), array(-5.4942305e+09, dtype=float32), array(-2.9827817e+10, dtype=float32), array(-1.388149e+11, dtype=float32)]","[array(4.617752e+08, dtype=float32), array(-1.6171102e+10, dtype=float32), array(-8.8298906e+10, dtype=float32), array(-4.1369836e+11, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.001 lam 1 epochs 300 num_features 20 low_dimension 5","[0.5443037974683544, 0.32489451476793246, 0.4767932489451477, 0.3686440677966102]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.0975643e+09, dtype=float32), array(-6.5277056e+09, dtype=float32), array(-3.355291e+10, dtype=float32), array(-1.6989856e+11, dtype=float32), array(-2.6586223e+11, dtype=float32), array(-2.6782168e+11, dtype=float32)]","[array(3.7507832e+09, dtype=float32), array(-1.9304591e+10, dtype=float32), array(-9.981466e+10, dtype=float32), array(-5.0664892e+11, dtype=float32), array(-8.11378e+11, dtype=float32), array(-8.1769765e+11, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.001 lam 1 epochs 400 num_features 20 low_dimension 5","[0.5443037974683544, 0.32489451476793246, 0.4767932489451477, 0.3940677966101695]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(-3.1456576e+09, dtype=float32), array(-1.1900575e+10, dtype=float32), array(-4.8661516e+10, dtype=float32), array(-1.7737644e+11, dtype=float32), array(-2.6621498e+11, dtype=float32), array(-2.6784086e+11, dtype=float32), array(-2.6784249e+11, dtype=float32)]","[array(-9.126591e+09, dtype=float32), array(-3.4857808e+10, dtype=float32), array(-1.4283271e+11, dtype=float32), array(-5.2487327e+11, dtype=float32), array(-8.1136543e+11, dtype=float32), array(-8.176816e+11, dtype=float32), array(-8.177339e+11, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.001 lam 1 epochs 500 num_features 20 low_dimension 5","[0.5443037974683544, 0.32489451476793246, 0.4641350210970464, 0.4025423728813559]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4810126582278481, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(-2.5904856e+08, dtype=float32), array(-6.470032e+09, dtype=float32), array(-3.2066503e+10, dtype=float32), array(-1.6599579e+11, dtype=float32), array(-2.6713722e+11, dtype=float32), array(-2.6779225e+11, dtype=float32), array(-2.6781984e+11, dtype=float32), array(-2.6783008e+11, dtype=float32), array(-2.6783631e+11, dtype=float32)]","[array(-5.401045e+08, dtype=float32), array(-1.9116687e+10, dtype=float32), array(-9.439415e+10, dtype=float32), array(-4.914959e+11, dtype=float32), array(-8.155402e+11, dtype=float32), array(-8.176181e+11, dtype=float32), array(-8.1767426e+11, dtype=float32), array(-8.176997e+11, dtype=float32), array(-8.1771685e+11, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.001 lam 1 epochs 1000 num_features 20 low_dimension 5","[0.5485232067510548, 0.32489451476793246, 0.4641350210970464, 0.4025423728813559]","[0.5485232067510548, 0.3333333333333333, 0.46835443037974683, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(5.1489e+08, dtype=float32), array(-6.2700365e+09, dtype=float32), array(-3.546267e+10, dtype=float32), array(-1.835987e+11, dtype=float32), array(-2.6720045e+11, dtype=float32), array(-2.6786906e+11, dtype=float32), array(-2.6788141e+11, dtype=float32), array(-2.6788998e+11, dtype=float32), array(-2.6789654e+11, dtype=float32), array(-2.6790235e+11, dtype=float32), array(-2.6790786e+11, dtype=float32), array(-2.6791356e+11, dtype=float32), array(-2.6791947e+11, dtype=float32), array(-2.6792572e+11, dtype=float32), array(-2.6793247e+11, dtype=float32), array(-2.6793976e+11, dtype=float32), array(-2.679478e+11, dtype=float32), array(-2.6795668e+11, dtype=float32), array(-2.6796661e+11, dtype=float32), array(-2.6797774e+11, dtype=float32)]","[array(1.6942381e+09, dtype=float32), array(-1.8689444e+10, dtype=float32), array(-1.0443367e+11, dtype=float32), array(-5.4301003e+11, dtype=float32), array(-8.153663e+11, dtype=float32), array(-8.177625e+11, dtype=float32), array(-8.178257e+11, dtype=float32), array(-8.178563e+11, dtype=float32), array(-8.1787814e+11, dtype=float32), array(-8.1789583e+11, dtype=float32), array(-8.1791215e+11, dtype=float32), array(-8.17928e+11, dtype=float32), array(-8.179444e+11, dtype=float32), array(-8.1796144e+11, dtype=float32), array(-8.179799e+11, dtype=float32), array(-8.1800004e+11, dtype=float32), array(-8.18022e+11, dtype=float32), array(-8.180466e+11, dtype=float32), array(-8.1807416e+11, dtype=float32), array(-8.18105e+11, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 0 epochs 100 num_features 20 low_dimension 5","[0.004219409282700422, 0.05063291139240506, 0.16033755274261605, 0.4025423728813559]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4810126582278481, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.7298006, dtype=float32), array(1.7183754, dtype=float32)]","[array(1.7528335, dtype=float32), array(1.7422434, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 0 epochs 200 num_features 20 low_dimension 5","[0.14767932489451477, 0.13924050632911392, 0.016877637130801686, 0.1440677966101695]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.8568959, dtype=float32), array(1.8445042, dtype=float32), array(1.8327616, dtype=float32), array(1.8212886, dtype=float32)]","[array(1.8137904, dtype=float32), array(1.8031752, dtype=float32), array(1.7932056, dtype=float32), array(1.7835648, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 0 epochs 300 num_features 20 low_dimension 5","[0.1518987341772152, 0.32489451476793246, 0.02109704641350211, 0.2838983050847458]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4810126582278481, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.8411909, dtype=float32), array(1.8247247, dtype=float32), array(1.8087459, dtype=float32), array(1.793184, dtype=float32), array(1.7778896, dtype=float32), array(1.7627232, dtype=float32)]","[array(1.8296306, dtype=float32), array(1.8170304, dtype=float32), array(1.8048633, dtype=float32), array(1.793053, dtype=float32), array(1.7815014, dtype=float32), array(1.7701043, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 0 epochs 400 num_features 20 low_dimension 5","[0.15611814345991562, 0.32489451476793246, 0.09282700421940929, 0.029661016949152543]","[0.5485232067510548, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.9947053, dtype=float32), array(1.9782164, dtype=float32), array(1.9622597, dtype=float32), array(1.9462945, dtype=float32), array(1.9300255, dtype=float32), array(1.9132128, dtype=float32), array(1.8956501, dtype=float32), array(1.8770968, dtype=float32)]","[array(1.9565544, dtype=float32), array(1.9432741, dtype=float32), array(1.9302695, dtype=float32), array(1.9171257, dtype=float32), array(1.9036192, dtype=float32), array(1.8895853, dtype=float32), array(1.8748907, dtype=float32), array(1.8593913, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 0 epochs 500 num_features 20 low_dimension 5","[0.14767932489451477, 0.32489451476793246, 0.0970464135021097, 0.09322033898305085]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.8567626, dtype=float32), array(1.8450407, dtype=float32), array(1.8336322, dtype=float32), array(1.8222691, dtype=float32), array(1.8107007, dtype=float32), array(1.7987686, dtype=float32), array(1.7864068, dtype=float32), array(1.7735679, dtype=float32), array(1.7602124, dtype=float32), array(1.7463048, dtype=float32)]","[array(1.8496294, dtype=float32), array(1.8386759, dtype=float32), array(1.8279942, dtype=float32), array(1.817346, dtype=float32), array(1.8065015, dtype=float32), array(1.7953056, dtype=float32), array(1.7836797, dtype=float32), array(1.7715794, dtype=float32), array(1.7589779, dtype=float32), array(1.7458586, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 0 epochs 1000 num_features 20 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.19491525423728814]","[0.5485232067510548, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.8635378, dtype=float32), array(1.8510965, dtype=float32), array(1.8382396, dtype=float32), array(1.8250009, dtype=float32), array(1.8113326, dtype=float32), array(1.7970665, dtype=float32), array(1.7820306, dtype=float32), array(1.7661062, dtype=float32), array(1.7492195, dtype=float32), array(1.7313389, dtype=float32), array(1.7124728, dtype=float32), array(1.6926783, dtype=float32), array(1.6720598, dtype=float32), array(1.6507634, dtype=float32), array(1.6289735, dtype=float32), array(1.6069047, dtype=float32), array(1.5848012, dtype=float32), array(1.5629214, dtype=float32), array(1.5415298, dtype=float32), array(1.520881, dtype=float32)]","[array(1.8343611, dtype=float32), array(1.822362, dtype=float32), array(1.8104703, dtype=float32), array(1.7985141, dtype=float32), array(1.7863189, dtype=float32), array(1.7737297, dtype=float32), array(1.7606093, dtype=float32), array(1.746856, dtype=float32), array(1.7324151, dtype=float32), array(1.7172645, dtype=float32), array(1.7014254, dtype=float32), array(1.6849544, dtype=float32), array(1.6679475, dtype=float32), array(1.6505395, dtype=float32), array(1.6328927, dtype=float32), array(1.6151978, dtype=float32), array(1.5976601, dtype=float32), array(1.5804977, dtype=float32), array(1.5639236, dtype=float32), array(1.5481403, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 1e-12 epochs 100 num_features 20 low_dimension 5","[0.10970464135021098, 0.14345991561181434, 0.47257383966244726, 0.08050847457627118]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4810126582278481, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.9157683, dtype=float32), array(1.8998394, dtype=float32)]","[array(1.8684224, dtype=float32), array(1.8536328, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 1e-12 epochs 200 num_features 20 low_dimension 5","[0.04219409282700422, 0.32489451476793246, 0.25316455696202533, 0.1059322033898305]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4810126582278481, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.7916759, dtype=float32), array(1.7796457, dtype=float32), array(1.7685318, dtype=float32), array(1.7581621, dtype=float32)]","[array(1.8189262, dtype=float32), array(1.807373, dtype=float32), array(1.7966473, dtype=float32), array(1.7866017, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 1e-12 epochs 300 num_features 20 low_dimension 5","[0.5527426160337553, 0.13924050632911392, 0.16033755274261605, 0.4025423728813559]","[0.5485232067510548, 0.3333333333333333, 0.46835443037974683, 0.4194915254237288]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.8059549, dtype=float32), array(1.7953442, dtype=float32), array(1.7855031, dtype=float32), array(1.7761889, dtype=float32), array(1.7672224, dtype=float32), array(1.7584356, dtype=float32)]","[array(1.8484923, dtype=float32), array(1.8394538, dtype=float32), array(1.8309859, dtype=float32), array(1.8228843, dtype=float32), array(1.8149927, dtype=float32), array(1.8071787, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 1e-12 epochs 400 num_features 20 low_dimension 5","[0.0379746835443038, 0.33755274261603374, 0.26582278481012656, 0.19491525423728814]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.829608, dtype=float32), array(1.8091787, dtype=float32), array(1.7900859, dtype=float32), array(1.7717236, dtype=float32), array(1.7537241, dtype=float32), array(1.7358876, dtype=float32), array(1.7180623, dtype=float32), array(1.700127, dtype=float32)]","[array(1.8196151, dtype=float32), array(1.8032964, dtype=float32), array(1.7878413, dtype=float32), array(1.7728449, dtype=float32), array(1.7580583, dtype=float32), array(1.7433195, dtype=float32), array(1.7285191, dtype=float32), array(1.713577, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 1e-12 epochs 500 num_features 20 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.0970464135021097, 0.17796610169491525]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.8450879, dtype=float32), array(1.8306407, dtype=float32), array(1.8158804, dtype=float32), array(1.8005592, dtype=float32), array(1.7845064, dtype=float32), array(1.7674924, dtype=float32), array(1.7493362, dtype=float32), array(1.729925, dtype=float32), array(1.7091999, dtype=float32), array(1.687168, dtype=float32)]","[array(1.8134665, dtype=float32), array(1.8017994, dtype=float32), array(1.7899076, dtype=float32), array(1.7775649, dtype=float32), array(1.7646226, dtype=float32), array(1.750906, dtype=float32), array(1.7362796, dtype=float32), array(1.7206583, dtype=float32), array(1.7039851, dtype=float32), array(1.6862478, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 1e-12 epochs 1000 num_features 20 low_dimension 5","[0.5527426160337553, 0.32489451476793246, 0.4767932489451477, 0.4025423728813559]","[0.5485232067510548, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.6588763, dtype=float32), array(1.6456672, dtype=float32), array(1.63261, dtype=float32), array(1.6195325, dtype=float32), array(1.6062764, dtype=float32), array(1.5927074, dtype=float32), array(1.5787877, dtype=float32), array(1.5645653, dtype=float32), array(1.5501487, dtype=float32), array(1.535678, dtype=float32), array(1.521305, dtype=float32), array(1.5071895, dtype=float32), array(1.4934908, dtype=float32), array(1.480356, dtype=float32), array(1.4679135, dtype=float32), array(1.4562736, dtype=float32), array(1.445511, dtype=float32), array(1.4356496, dtype=float32), array(1.426677, dtype=float32), array(1.4185607, dtype=float32)]","[array(1.7113786, dtype=float32), array(1.699307, dtype=float32), array(1.6873631, dtype=float32), array(1.675411, dtype=float32), array(1.6633291, dtype=float32), array(1.6510015, dtype=float32), array(1.6383959, dtype=float32), array(1.6255482, dtype=float32), array(1.6125482, dtype=float32), array(1.5995202, dtype=float32), array(1.5865972, dtype=float32), array(1.5739173, dtype=float32), array(1.561619, dtype=float32), array(1.5498333, dtype=float32), array(1.538669, dtype=float32), array(1.5282229, dtype=float32), array(1.518563, dtype=float32), array(1.5097109, dtype=float32), array(1.5016617, dtype=float32), array(1.4943876, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 1e-11 epochs 100 num_features 20 low_dimension 5","[0.14767932489451477, 0.32489451476793246, 0.08438818565400844, 0.059322033898305086]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4110169491525424]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4810126582278481, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.9038794, dtype=float32), array(1.8845837, dtype=float32)]","[array(1.8941097, dtype=float32), array(1.8685095, dtype=float32)]"
"trial1 nn [[15], [15]] lr 0.0001 lam 1e-11 epochs 200 num_features 20 low_dimension 5","[0.14767932489451477, 0.1518987341772152, 0.4767932489451477, 0.16101694915254236]","[0.5443037974683544, 0.33755274261603374, 0.4641350210970464, 0.4152542372881356]","[0.5527426160337553, 0.3670886075949367, 0.4936708860759494, 0.4194915254237288]","[0.5316455696202531, 0.3628691983122363, 0.4767932489451477, 0.4194915254237288]","[0.5485232067510548, 0.3206751054852321, 0.4810126582278481, 0.4110169491525424]","[array(1.9966567, dtype=float32), array(1.9720881, dtype=float32), array(1.947021, dtype=float32), array(1.9209194, dtype=float32)]","[array(1.8617309, dtype=float32), array(1.8332007, dtype=float32), array(1.8036271, dtype=float32), array(1.7724786, dtype=float32)]"
